,Season,Match Number,Round Number,Week,Date,Location,Home Team,Away Team,AB_HOME,Pace_HOME,OffRtg_HOME,DefRtg_HOME,NetRtg_HOME,GOW_HOME,AB_AWAY,Pace_AWAY,OffRtg_AWAY,DefRtg_AWAY,NetRtg_AWAY,GOW_AWAY,Result
0,18-19,1,1,1,22/12/2020 21:00,Barclays Center,Brooklyn Nets,Golden State Warriors,BKN,101.7,108.7,109.2,-0.5," vs. GSW, @ BOS, @ CHA",GSW,101.0,104.4,113.0,-8.6," @ BKN, @ MIL, @ CHI",125 - 99
1,18-19,2,1,1,23/12/2020 00:00,STAPLES Center,Los Angeles Lakers,LA Clippers,LAL,101.2,111.7,106.1,+5.6," vs. LAC, vs. DAL, vs. MIN",LAC,102.2,113.3,106.9,+6.3," @ LAL, @ DEN, vs. DAL",109 - 116
2,18-19,3,1,1,23/12/2020 21:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Charlotte Hornets,CLE,99.2,106.9,114.8,-7.9," vs. CHA, @ DET, vs. PHI",CHA,96.2,105.9,112.8,-7.0," @ CLE, vs. OKC, vs. BKN",121 - 114
3,18-19,4,1,1,23/12/2020 21:00,Bankers Life Fieldhouse,Indiana Pacers,New York Knicks,IND,99.4,109.5,107.5,+1.9," vs. NYK, @ CHI, vs. BOS",NYK,99.1,105.9,112.4,-6.5," @ IND, vs. PHI, vs. MIL",121 - 107
4,18-19,5,1,1,23/12/2020 21:00,Amway Center,Orlando Magic,Miami Heat,ORL,99.0,107.9,109.2,-1.3," vs. MIA, @ WAS, @ WAS",MIA,98.7,111.9,109.3,+2.7," @ ORL, vs. NOP",113 - 107
5,18-19,6,1,1,23/12/2020 21:00,Wells Fargo Center,Philadelphia 76ers,Washington Wizards,PHI,99.6,110.7,108.4,+2.3," vs. WAS, @ NYK, @ CLE",WAS,103.4,110.2,114.7,-4.5," @ PHI, vs. ORL, vs. ORL",113 - 107
6,18-19,7,1,1,23/12/2020 21:30,TD Garden,Boston Celtics,Milwaukee Bucks,BOS,99.9,112.8,106.5,+6.3," vs. MIL, vs. BKN, @ IND",MIL,105.5,111.9,102.5,+9.4," @ BOS, vs. GSW, @ NYK",122 - 121
7,18-19,8,1,1,23/12/2020 21:30,Amalie Arena,Toronto Raptors,New Orleans Pelicans,TOR,101.2,110.8,104.7,+6.4," vs. NOP, @ SAS",NOP,103.9,110.5,111.8,-1.3," @ TOR, @ MIA, vs. SAS",99 - 113
8,18-19,9,1,1,23/12/2020 22:00,United Center,Chicago Bulls,Atlanta Hawks,CHI,100.5,105.8,108.9,-3.1," vs. ATL, vs. IND, vs. GSW",ATL,103.3,107.0,114.4,-7.4," @ CHI, @ MEM",104 - 124
9,18-19,11,1,1,23/12/2020 22:00,FedExForum,Memphis Grizzlies,San Antonio Spurs,MEM,103.3,108.7,109.7,-1.0," vs. SAS, vs. ATL",SAS,101.1,111.7,112.6,-0.9," @ MEM, vs. TOR, @ NOP",119 - 131
10,18-19,12,1,1,23/12/2020 22:00,Target Center,Minnesota Timberwolves,Detroit Pistons,MIN,104.0,107.6,111.6,-4.0," vs. DET, @ UTA, @ LAL",DET,97.9,108.8,112.3,-3.5," @ MIN, vs. CLE",111 - 101
11,18-19,13,1,1,23/12/2020 23:00,Ball Arena,Denver Nuggets,Sacramento Kings,DEN,97.6,112.6,110.4,+2.2," vs. SAC, vs. LAC",SAC,99.6,109.5,111.4,-1.9," @ DEN, vs. PHX, vs. PHX",122 - 124
12,18-19,14,1,1,24/12/2020 00:00,Moda Center,Portland Trail Blazers,Utah Jazz,POR,101.2,113.2,114.3,-1.2," vs. UTA, vs. HOU",UTA,99.1,111.8,109.3,+2.5," @ POR, vs. MIN",100 - 120
13,18-19,15,1,1,24/12/2020 00:30,Phoenix Suns Arena,Phoenix Suns,Dallas Mavericks,PHX,101.7,111.3,110.8,+0.5," vs. DAL, @ SAC, @ SAC",DAL,99.8,115.9,111.2,+4.8," @ PHX, @ LAL, @ LAC",106 - 102
14,18-19,16,1,1,25/12/2020 14:00,AmericanAirlines Arena,Miami Heat,New Orleans Pelicans,MIA,98.7,111.9,109.3,+2.7," @ ORL, vs. NOP",NOP,103.9,110.5,111.8,-1.3," @ TOR, @ MIA, vs. SAS",111 - 98
15,18-19,17,1,1,25/12/2020 16:30,Fiserv Forum,Milwaukee Bucks,Golden State Warriors,MIL,105.5,111.9,102.5,+9.4," @ BOS, vs. GSW, @ NYK",GSW,101.0,104.4,113.0,-8.6," @ BKN, @ MIL, @ CHI",138 - 99
16,18-19,18,1,1,25/12/2020 19:00,TD Garden,Boston Celtics,Brooklyn Nets,BOS,99.9,112.8,106.5,+6.3," vs. MIL, vs. BKN, @ IND",BKN,101.7,108.7,109.2,-0.5," vs. GSW, @ BOS, @ CHA",95 - 123
17,18-19,19,1,1,25/12/2020 22:00,STAPLES Center,Los Angeles Lakers,Dallas Mavericks,LAL,101.2,111.7,106.1,+5.6," vs. LAC, vs. DAL, vs. MIN",DAL,99.8,115.9,111.2,+4.8," @ PHX, @ LAL, @ LAC",138 - 115
18,18-19,20,1,1,26/12/2020 00:30,Ball Arena,Denver Nuggets,LA Clippers,DEN,97.6,112.6,110.4,+2.2," vs. SAC, vs. LAC",LAC,102.2,113.3,106.9,+6.3," @ LAL, @ DEN, vs. DAL",108 - 121
19,18-19,21,1,1,26/12/2020 19:00,FedExForum,Memphis Grizzlies,Atlanta Hawks,MEM,103.3,108.7,109.7,-1.0," vs. SAS, vs. ATL",ATL,103.3,107.0,114.4,-7.4," @ CHI, @ MEM",112 - 122
20,18-19,22,1,1,26/12/2020 21:00,Spectrum Center,Charlotte Hornets,Oklahoma City Thunder,CHA,96.2,105.9,112.8,-7.0," @ CLE, vs. OKC, vs. BKN",OKC,99.4,110.1,108.1,+2.1," @ HOU, @ CHA",107 - 109
21,18-19,23,1,1,26/12/2020 21:00,Little Caesars Arena,Detroit Pistons,Cleveland Cavaliers,DET,97.9,108.8,112.3,-3.5," @ MIN, vs. CLE",CLE,99.2,106.9,114.8,-7.9," vs. CHA, @ DET, vs. PHI",119 - 128
22,18-19,24,1,1,26/12/2020 21:00,Capital One Arena,Washington Wizards,Orlando Magic,WAS,103.4,110.2,114.7,-4.5," @ PHI, vs. ORL, vs. ORL",ORL,99.0,107.9,109.2,-1.3," vs. MIA, @ WAS, @ WAS",120 - 130
23,18-19,25,1,1,26/12/2020 21:30,Madison Square Garden,New York Knicks,Philadelphia 76ers,NYK,99.1,105.9,112.4,-6.5," @ IND, vs. PHI, vs. MIL",PHI,99.6,110.7,108.4,+2.3," vs. WAS, @ NYK, @ CLE",89 - 109
24,18-19,26,1,1,26/12/2020 22:00,United Center,Chicago Bulls,Indiana Pacers,CHI,100.5,105.8,108.9,-3.1," vs. ATL, vs. IND, vs. GSW",IND,99.4,109.5,107.5,+1.9," vs. NYK, @ CHI, vs. BOS",106 - 125
25,18-19,27,1,1,26/12/2020 22:30,AT&T Center,San Antonio Spurs,Toronto Raptors,SAS,101.1,111.7,112.6,-0.9," @ MEM, vs. TOR, @ NOP",TOR,101.2,110.8,104.7,+6.4," vs. NOP, @ SAS",119 - 114
26,18-19,28,1,1,26/12/2020 23:00,Vivint Arena,Utah Jazz,Minnesota Timberwolves,UTA,99.1,111.8,109.3,+2.5," @ POR, vs. MIN",MIN,104.0,107.6,111.6,-4.0," vs. DET, @ UTA, @ LAL",111 - 116
27,18-19,29,1,1,27/12/2020 00:00,Moda Center,Portland Trail Blazers,Houston Rockets,POR,101.2,113.2,114.3,-1.2," vs. UTA, vs. HOU",HOU,104.0,112.5,109.8,+2.7," vs. OKC, @ POR",128 - 126
28,18-19,30,1,1,27/12/2020 00:00,Golden 1 Center,Sacramento Kings,Phoenix Suns,SAC,99.6,109.5,111.4,-1.9," @ DEN, vs. PHX, vs. PHX",PHX,101.7,111.3,110.8,+0.5," vs. DAL, @ SAC, @ SAC",106 - 103
