Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,19/10/2021 20:30,Fiserv Forum,Milwaukee Bucks,Brooklyn Nets,127 - 104
2,1,19/10/2021 23:00,STAPLES Center,Los Angeles Lakers,Golden State Warriors,114 - 121
3,1,20/10/2021 20:00,Spectrum Center,Charlotte Hornets,Indiana Pacers,123 - 122
4,1,20/10/2021 20:00,Little Caesars Arena,Detroit Pistons,Chicago Bulls,88 - 94
5,1,20/10/2021 20:30,Madison Square Garden,New York Knicks,Boston Celtics,138 - 134
6,1,20/10/2021 20:30,Scotiabank Arena,Toronto Raptors,Washington Wizards,83 - 98
7,1,20/10/2021 21:00,FedExForum,Memphis Grizzlies,Cleveland Cavaliers,132 - 121
8,1,20/10/2021 21:00,Target Center,Minnesota Timberwolves,Houston Rockets,124 - 106
9,1,20/10/2021 21:00,Smoothie King Center,New Orleans Pelicans,Philadelphia 76ers,97 - 117
10,1,20/10/2021 21:30,AT&T Center,San Antonio Spurs,Orlando Magic,123 - 97
11,1,20/10/2021 22:00,Vivint Arena,Utah Jazz,Oklahoma City Thunder,107 - 86
12,1,20/10/2021 23:00,Footprint Center,Phoenix Suns,Denver Nuggets,98 - 110
13,1,20/10/2021 23:00,Moda Center,Portland Trail Blazers,Sacramento Kings,121 - 124
14,1,21/10/2021 20:30,State Farm Arena,Atlanta Hawks,Dallas Mavericks,113 - 87
15,1,21/10/2021 21:00,FTX Arena,Miami Heat,Milwaukee Bucks,137 - 95
16,1,21/10/2021 23:00,Chase Center,Golden State Warriors,LA Clippers,115 - 113
17,1,22/10/2021 20:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Charlotte Hornets,112 - 123
18,1,22/10/2021 20:00,Amway Center,Orlando Magic,New York Knicks,96 - 121
19,1,22/10/2021 20:00,Capital One Arena,Washington Wizards,Indiana Pacers,135 - 134
20,1,22/10/2021 20:30,TD Garden,Boston Celtics,Toronto Raptors,83 - 115
21,1,22/10/2021 20:30,Wells Fargo Center,Philadelphia 76ers,Brooklyn Nets,109 - 114
22,1,22/10/2021 21:00,United Center,Chicago Bulls,New Orleans Pelicans,128 - 112
23,1,22/10/2021 21:00,Toyota Center,Houston Rockets,Oklahoma City Thunder,124 - 91
24,1,22/10/2021 22:00,Ball Arena,Denver Nuggets,San Antonio Spurs,102 - 96
25,1,22/10/2021 23:00,STAPLES Center,Los Angeles Lakers,Phoenix Suns,105 - 115
26,1,22/10/2021 23:00,Golden 1 Center,Sacramento Kings,Utah Jazz,101 - 110
27,1,23/10/2021 19:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Atlanta Hawks,101 - 95
28,1,23/10/2021 20:00,Gainbridge Fieldhouse,Indiana Pacers,Miami Heat,102 - 91
29,1,23/10/2021 20:30,Scotiabank Arena,Toronto Raptors,Dallas Mavericks,95 - 103
30,1,23/10/2021 21:00,United Center,Chicago Bulls,Detroit Pistons,97 - 82
31,1,23/10/2021 21:00,Target Center,Minnesota Timberwolves,New Orleans Pelicans,96 - 89
32,1,23/10/2021 21:30,AT&T Center,San Antonio Spurs,Milwaukee Bucks,111 - 121
33,1,23/10/2021 23:00,Moda Center,Portland Trail Blazers,Phoenix Suns,134 - 105
34,1,23/10/2021 23:30,STAPLES Center,LA Clippers,Memphis Grizzlies,114 - 120
35,1,24/10/2021 17:00,Barclays Center,Brooklyn Nets,Charlotte Hornets,95 - 111
36,1,24/10/2021 20:00,Madison Square Garden,New York Knicks,Orlando Magic,104 - 110
37,1,24/10/2021 20:00,Toyota Center,Houston Rockets,Boston Celtics,97 - 107
38,1,24/10/2021 20:00,Paycom Center,Oklahoma City Thunder,Philadelphia 76ers,103 - 115
39,1,24/10/2021 22:00,Golden 1 Center,Sacramento Kings,Golden State Warriors,107 - 119
40,1,24/10/2021 22:30,STAPLES Center,Los Angeles Lakers,Memphis Grizzlies,121 - 118
41,1,25/10/2021 20:00,Spectrum Center,Charlotte Hornets,Boston Celtics,129 - 140
42,1,25/10/2021 20:00,Gainbridge Fieldhouse,Indiana Pacers,Milwaukee Bucks,109 - 119
43,1,25/10/2021 20:30,State Farm Arena,Atlanta Hawks,Detroit Pistons,122 - 104
44,1,25/10/2021 20:30,Barclays Center,Brooklyn Nets,Washington Wizards,104 - 90
45,1,25/10/2021 20:30,FTX Arena,Miami Heat,Orlando Magic,107 - 90
46,1,25/10/2021 20:30,Scotiabank Arena,Toronto Raptors,Chicago Bulls,108 - 111
47,1,25/10/2021 21:00,Target Center,Minnesota Timberwolves,New Orleans Pelicans,98 - 107
48,1,25/10/2021 22:00,Ball Arena,Denver Nuggets,Cleveland Cavaliers,87 - 99
49,1,25/10/2021 23:30,STAPLES Center,LA Clippers,Portland Trail Blazers,116 - 86
50,1,26/10/2021 20:30,Madison Square Garden,New York Knicks,Philadelphia 76ers,112 - 99
51,1,26/10/2021 21:00,Paycom Center,Oklahoma City Thunder,Golden State Warriors,98 - 106
52,1,26/10/2021 21:30,American Airlines Center,Dallas Mavericks,Houston Rockets,116 - 106
53,1,26/10/2021 21:30,AT&T Center,San Antonio Spurs,Los Angeles Lakers,121 - 125
54,1,26/10/2021 23:00,Vivint Arena,Utah Jazz,Denver Nuggets,122 - 110
55,1,27/10/2021 20:00,Amway Center,Orlando Magic,Charlotte Hornets,111 - 120
56,1,27/10/2021 20:30,TD Garden,Boston Celtics,Washington Wizards,107 - 116
57,1,27/10/2021 20:30,Barclays Center,Brooklyn Nets,Miami Heat,93 - 106
58,1,27/10/2021 20:30,Scotiabank Arena,Toronto Raptors,Indiana Pacers,118 - 100
59,1,27/10/2021 20:30,Smoothie King Center,New Orleans Pelicans,Atlanta Hawks,99 - 102
60,1,27/10/2021 21:00,Fiserv Forum,Milwaukee Bucks,Minnesota Timberwolves,108 - 113
61,1,27/10/2021 21:00,Paycom Center,Oklahoma City Thunder,Los Angeles Lakers,123 - 115
62,1,27/10/2021 23:00,Footprint Center,Phoenix Suns,Sacramento Kings,107 - 110
63,1,27/10/2021 23:00,Moda Center,Portland Trail Blazers,Memphis Grizzlies,116 - 96
64,1,27/10/2021 23:30,STAPLES Center,LA Clippers,Cleveland Cavaliers,79 - 92
65,2,28/10/2021 20:00,Wells Fargo Center,Philadelphia 76ers,Detroit Pistons,110 - 102
66,2,28/10/2021 20:00,Capital One Arena,Washington Wizards,Atlanta Hawks,122 - 111
67,2,28/10/2021 21:00,United Center,Chicago Bulls,New York Knicks,103 - 104
68,2,28/10/2021 21:00,Toyota Center,Houston Rockets,Utah Jazz,91 - 122
69,2,28/10/2021 21:30,American Airlines Center,Dallas Mavericks,San Antonio Spurs,104 - 99
70,2,28/10/2021 23:00,Chase Center,Golden State Warriors,Memphis Grizzlies,101 - 104
